

Results from heasarc_wisehspcat: 2WHSP Catalog of High Synchrotron Peaked Blazars and Candidates
Coordinate system:  Equatorial
|name                  |ra        |dec      |lii     |bii     |source_flag|bzcat_object_type|log_nu_peak_limit|log_nu_peak|log_nu_peak_flag|log_nu_f_nu_limit|log_nu_f_nu|log_nu_f_nu_flag|redshift_limit|redshift|redshift_flag|ref_redshift|fermi_lat_detection|gamma_ray_index|gamma_ray_index_error|twofhl_name     |figure_of_merit|
|2WHSP J032343.6-011145|03 23 43.6|-01 11 45|184.0335|-45.2343|           |5BZB             |                 |       15.1|                |                 |      -11.8|                |              |        |             |            |3FGL J0323.6-0109  |           1.85|                 0.09|                |           0.32|
|2WHSP J032356.5-010833|03 23 56.5|-01 08 33|184.0224|-45.1590|           |5BZB             |&gt;                |       17.5|                |&gt;                |      -11.9|                |              |   0.392|             |            |                   |               |                     |                |           0.25|
|2WHSP J211501.3-005640|21 15 01.3|-00 56 40| 50.2555|-31.9554|           |                 |                 |       15.9|                |                 |      -12.5|                |              |   0.226|             |            |                   |               |                     |                |           0.06|
|2WHSP J140635.8-005548|14 06 35.8|-00 55 48|338.7603| 56.6206|           |                 |                 |       16.4|                |                 |      -12.1|                |              |   0.279|:            |            |                   |               |                     |                |           0.16|
|2WHSP J030433.9-005403|03 04 33.9|-00 54 03|179.1435|-48.6850|           |5BZB             |                 |       15.4|                |                 |      -11.9|                |              |   0.511|             |            |Arsioli2016        |           1.70|                 0.17|2FHL J0304.5-005|           0.25|
|2WHSP J150425.6-004742|15 04 25.6|-00 47 42|357.2501| 47.5537|           |                 |                 |       15.3|                |                 |      -12.5|                |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J201428.6-004721|20 14 28.6|-00 47 21| 42.0074|-18.7661|           |5BZB             |                 |       15.2|                |                 |      -11.8|                |              |   0.231|:            |            |3FGL J2014.3-0047  |           1.83|                 0.10|                |           0.32|
|2WHSP J215305.2-004229|21 53 05.2|-00 42 29| 57.0129|-39.7481|           |5BZB             |&gt;                |       18.0|                |&gt;                |      -11.4|                |              |   0.341|             |            |3FGL J2152.9-0045  |           1.95|                 0.18|2FHL J2153.1-004|           0.79|
|2WHSP J223245.4-004032|22 32 45.4|-00 40 32| 65.5839|-47.5007|           |                 |                 |       16.9|                |                 |      -12.3|                |              |   0.505|             |            |                   |               |                     |                |           0.10|
|2WHSP J204921.7-003925|20 49 21.7|-00 39 25| 46.7555|-26.3078|           |5BZG             |                 |       16.6|                |                 |      -12.1|                |              |   0.250|             |            |                   |               |                     |                |           0.16|
|2WHSP J205938.5-003754|20 59 38.5|-00 37 54| 48.2505|-28.5086|           |5BZG             |                 |       16.0|                |                 |      -12.4|                |              |   0.335|             |            |                   |               |                     |                |           0.08|
|2WHSP J162115.1-003140|16 21 15.1|-00 31 40| 13.0916| 32.5572|           |5BZB             |                 |       16.0|                |                 |      -12.2|                |&gt;             |   0.520|             |            |Arsioli2016        |           1.84|                 0.21|                |           0.13|
|2WHSP J104654.4-002835|10 46 54.4|-00 28 35|250.5004| 49.2870|           |                 |                 |       15.9|                |                 |      -12.9|                |              |        |             |            |                   |               |                     |                |           0.03|
|2WHSP J235604.0-002353|23 56 04.0|-00 23 53| 94.2066|-60.1448|           |5BZB             |                 |       15.4|                |                 |      -12.5|                |              |   0.283|             |            |                   |               |                     |                |           0.06|
|2WHSP J221109.7-002326|22 11 09.7|-00 23 26| 60.9747|-43.1706|           |5BZG             |                 |       15.8|                |                 |      -12.6|                |              |   0.447|             |            |                   |               |                     |                |           0.05|
|2WHSP J133105.7-002221|13 31 05.7|-00 22 21|323.6605| 60.8932|           |5BZB             |                 |       15.6|                |                 |      -12.3|                |              |   0.243|             |            |                   |               |                     |                |           0.10|
|2WHSP J205528.2-002116|20 55 28.2|-00 21 16| 47.9157|-27.4708|           |5BZB             |&gt;                |       18.0|                |&gt;                |      -10.9|                |              |   0.440|             |            |3FGL J2055.2-0019  |           1.62|                 0.14|                |           2.51|
|2WHSP J154534.6-001927|15 45 34.6|-00 19 27|  6.9550| 39.9870|           |                 |                 |       16.3|                |                 |      -12.8|                |              |        |             |            |                   |               |                     |                |           0.03|
|2WHSP J044230.1-001829|04 42 30.1|-00 18 29|197.1904|-28.4992|           |5BZB             |                 |       16.3|                |                 |      -12.1|                |              |   0.449|             |            |                   |               |                     |                |           0.16|
|2WHSP J012750.8-001345|01 27 50.8|-00 13 45|142.4339|-61.7146|           |5BZB             |                 |       15.6|                |                 |      -12.7|                |              |   0.440|             |            |                   |               |                     |                |           0.04|
|2WHSP J051439.1-001103|05 14 39.1|-00 11 03|201.5252|-21.4840|           |                 |                 |       15.4|                |                 |      -12.5|                |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J115404.5-001009|11 54 04.5|-00 10 09|273.7988| 59.4185|           |5BZB             |                 |       16.6|                |                 |      -11.9|                |              |   0.254|             |            |3FGL J1154.2-0010  |           1.68|                 0.14|                |           0.25|
|2WHSP J014715.7-000817|01 47 15.7|-00 08 17|151.6394|-59.8614|           |                 |                 |       16.9|                |                 |      -12.7|                |              |   0.472|             |            |                   |               |                     |                |           0.04|
|2WHSP J120106.1-000700|12 01 06.1|-00 07 00|276.9389| 60.1899|           |5BZG             |                 |       16.5|                |                 |      -12.4|                |              |   0.165|             |            |                   |               |                     |                |           0.08|
|2WHSP J224447.9-000619|22 44 47.9|-00 06 19| 69.2977|-49.3212|           |5BZB             |                 |       15.8|                |                 |      -12.2|                |&gt;             |   0.700|             |            |                   |               |                     |                |           0.13|
|2WHSP J100008.8-000319|10 00 08.8|-00 03 19|239.1885| 40.7175|           |                 |                 |       17.7|                |                 |      -13.0|                |              |        |             |            |                   |               |                     |                |           0.02|
|2WHSP J122012.1-000306|12 20 12.1|-00 03 06|286.2205| 61.8024|           |5BZB             |                 |       15.8|                |                 |      -12.3|                |&gt;             |   0.700|             |            |                   |               |                     |                |           0.10|
|2WHSP J221108.2-000302|22 11 08.2|-00 03 02| 61.3343|-42.9547|           |5BZB             |                 |       16.3|                |                 |      -12.0|                |              |   0.362|             |            |Arsioli2016        |           1.66|                 0.16|                |           0.20|
|2WHSP J045249.4-000151|04 52 49.4|-00 01 51|198.4088|-26.1404|           |                 |                 |       16.8|                |                 |      -12.3|                |              |        |             |            |                   |               |                     |                |           0.10|
|2WHSP J135126.9-000115|13 51 26.9|-00 01 15|333.3578| 59.2589|           |                 |                 |       15.2|                |                 |      -13.1|                |              |        |             |            |                   |               |                     |                |           0.02|
|2WHSP J111717.5+000633|11 17 17.5|+00 06 33|259.1272| 54.7670|           |5BZB             |                 |       16.6|                |                 |      -11.9|                |              |   0.451|             |            |Arsioli2016        |           2.17|                 0.20|                |           0.25|
|2WHSP J002200.9+000657|00 22 00.9|+00 06 57|107.1843|-61.8530|           |5BZG             |                 |       16.3|                |                 |      -11.8|                |              |   0.306|             |            |                   |               |                     |2FHL J0022.0+000|           0.32|
|2WHSP J205456.8+001537|20 54 56.8|+00 15 37| 48.4341|-27.0434|           |5BZG             |                 |       16.1|                |                 |      -12.0|                |              |   0.151|             |            |3FGL J2055.0+0016  |           1.73|                 0.19|                |           0.20|
|2WHSP J134347.4+002022|13 43 47.4|+00 20 22|330.2249| 60.4070|           |                 |                 |       16.8|                |                 |      -12.8|                |              |   0.242|             |            |                   |               |                     |                |           0.03|
|2WHSP J110356.0+002236|11 03 56.0|+00 22 36|254.4978| 52.8291|           |5BZG             |                 |       15.7|                |                 |      -12.4|                |              |   0.270|             |            |                   |               |                     |                |           0.08|
|2WHSP J012652.0+003307|01 26 52.0|+00 33 07|141.4715|-61.0381|           |                 |&gt;                |       16.0|                |&gt;                |      -12.8|                |              |        |             |            |                   |               |                     |                |           0.03|
|2WHSP J020106.1+003400|02 01 06.1|+00 34 00|156.9234|-57.6331|           |5BZB             |                 |       17.0|                |                 |      -11.7|                |              |   0.298|             |            |Arsioli2016        |           1.82|                 0.28|                |           0.40|
|2WHSP J131106.4+003509|13 11 06.4|+00 35 09|313.8298| 63.0407|           |5BZB             |                 |       15.0|                |                 |      -11.9|                |              |        |             |            |3FGL J1311.0+0036  |           1.55|                 0.28|                |           0.25|
|2WHSP J212940.6+003526|21 29 40.6|+00 35 26| 54.1671|-34.2003|           |5BZU             |                 |       17.5|                |                 |      -12.5|                |              |   0.426|             |            |                   |               |                     |                |           0.06|
|2WHSP J220031.3+003540|22 00 31.3|+00 35 40| 59.8284|-40.4657|           |                 |                 |       16.9|                |                 |      -12.5|                |              |   0.098|             |            |                   |               |                     |                |           0.06|
|2WHSP J015743.9+003605|01 57 43.9|+00 36 05|155.5110|-58.0143|U          |                 |                 |       15.2|:               |                 |      -12.9|:               |              |        |             |            |                   |               |                     |                |           0.03|
|2WHSP J024752.0+004106|02 47 52.0|+00 41 06|172.8723|-50.5415|           |                 |                 |       16.5|                |                 |      -12.1|                |              |   0.392|             |            |                   |               |                     |                |           0.16|
|2WHSP J180408.8+004221|18 04 08.8|+00 42 21| 28.1163| 10.8331|           |5BZG             |&gt;                |       17.0|                |&gt;                |      -11.5|                |              |   0.087|:            |            |                   |               |                     |                |           1.00|
|2WHSP J155812.9+004452|15 58 12.9|+00 44 52| 10.4511| 38.0489|           |                 |                 |       16.6|                |                 |      -12.3|                |              |   0.010|             |            |                   |               |                     |                |           0.10|
|2WHSP J030208.8+004626|03 02 08.8|+00 46 26|176.6847|-47.9789|           |                 |                 |       16.4|                |                 |      -12.5|                |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J024302.8+004627|02 43 02.8|+00 46 27|171.3646|-51.2873|           |5BZB             |                 |       16.4|                |                 |      -12.6|                |              |   0.400|             |            |                   |               |                     |                |           0.05|
|2WHSP J085920.5+004712|08 59 20.5|+00 47 12|228.0553| 28.5236|           |5BZB             |                 |       16.3|                |                 |      -12.1|                |              |   0.570|:            |            |                   |               |                     |                |           0.16|
|2WHSP J015953.5+004815|01 59 53.5|+00 48 15|156.2136|-57.5756|           |                 |                 |       16.0|                |                 |      -12.6|                |              |   0.652|             |            |                   |               |                     |                |           0.05|
|2WHSP J104303.7+005420|10 43 03.7|+00 54 20|247.9467| 49.5604|           |                 |                 |       17.1|                |                 |      -11.8|                |              |        |             |            |Arsioli2016        |           1.73|                 0.17|                |           0.32|
|2WHSP J010547.2+010057|01 05 47.2|+01 00 57|130.5008|-61.6449|           |                 |                 |       16.0|:               |                 |      -12.7|:               |              |        |             |            |                   |               |                     |                |           0.04|
|2WHSP J095127.7+010209|09 51 27.7|+01 02 09|236.3599| 39.6073|           |5BZB             |                 |       15.5|                |                 |      -12.3|                |              |   0.500|:            |            |                   |               |                     |                |           0.10|
|2WHSP J144110.2+010216|14 41 10.2|+01 02 16|352.7860| 52.9432|           |                 |                 |       16.1|                |                 |      -13.1|                |              |        |             |            |                   |               |                     |                |           0.02|
|2WHSP J094620.2+010450|09 46 20.2|+01 04 50|235.3674| 38.5827|           |5BZB             |                 |       17.9|                |                 |      -11.8|                |              |   0.577|             |            |3FGL J0946.2+0103  |           1.70|                 0.23|                |           0.32|
|2WHSP J031749.6+010513|03 17 49.6|+01 05 13|180.2165|-44.8898|           |                 |                 |       16.6|                |                 |      -12.9|                |              |   0.435|             |            |                   |               |                     |                |           0.03|
|2WHSP J041652.3+010522|04 16 52.3|+01 05 22|191.8145|-33.1600|           |5BZB             |                 |       16.5|                |                 |      -10.8|                |              |   0.287|             |            |3FGL J0416.8+0104  |           1.75|                 0.11|2FHL J0416.9+010|           3.16|
|2WHSP J153812.4+010823|15 38 12.4|+01 08 23|  7.0444| 42.3392|           |                 |                 |       17.2|                |                 |      -12.1|                |              |        |             |            |                   |               |                     |                |           0.16|
|2WHSP J004523.2+011727|00 45 23.2|+01 17 27|119.7566|-61.5436|U          |                 |                 |       16.8|:               |                 |      -13.1|:               |              |        |             |            |                   |               |                     |                |           0.02|
|2WHSP J150507.0+012129|15 05 07.0|+01 21 29|359.7990| 48.8888|           |                 |                 |       16.9|:               |                 |      -13.2|:               |              |   0.641|             |            |                   |               |                     |                |           0.01|
|2WHSP J095849.0+013218|09 58 49.0|+01 32 18|237.2258| 41.3957|           |                 |                 |       17.9|                |                 |      -12.3|                |              |   0.004|:            |            |                   |               |                     |                |           0.10|
|2WHSP J085749.8+013530|08 57 49.8|+01 35 30|227.0472| 28.6071|           |5BZB             |                 |       15.4|                |                 |      -11.9|                |              |   0.281|             |            |Arsioli2016        |           2.51|                 0.24|                |           0.25|
|2WHSP J000626.8+013610|00 06 26.8|+01 36 10|100.4847|-59.2940|           |                 |                 |       15.2|                |                 |      -12.5|                |              |        |             |            |3FGL J0006.2+0135  |           2.19|                 0.16|                |           0.06|
|2WHSP J153646.6+013759|15 36 46.6|+01 37 59|  7.2917| 42.9206|           |5BZB             |&gt;                |       18.0|                |&gt;                |      -11.7|                |              |   0.311|             |            |                   |               |                     |                |           0.32|
|2WHSP J112059.7+014456|11 20 59.7|+01 44 56|258.6161| 56.6279|           |5BZB             |                 |       16.8|                |                 |      -12.4|                |              |   0.368|             |            |                   |               |                     |                |           0.08|
|2WHSP J150826.5+014645|15 08 26.5|+01 46 45|  1.1099| 48.5427|           |                 |                 |       16.2|:               |                 |      -12.8|:               |              |   0.507|             |            |                   |               |                     |                |           0.03|
|2WHSP J015239.5+014717|01 52 39.5|+01 47 17|152.3768|-57.5412|           |5BZG             |                 |       15.9|                |                 |      -11.2|                |              |   0.080|             |            |3FGL J0152.6+0148  |           1.89|                 0.10|2FHL J0152.8+014|           1.26|
|2WHSP J235013.4+015146|23 50 13.4|+01 51 46| 93.5503|-57.4747|           |                 |                 |       16.4|                |                 |      -12.3|                |              |        |             |            |                   |               |                     |                |           0.10|
|2WHSP J095649.5+015600|09 56 49.5|+01 56 00|236.4130| 41.2199|           |5BZB             |                 |       16.1|:               |                 |      -12.7|:               |&gt;             |   0.700|             |            |                   |               |                     |                |           0.04|
|2WHSP J131330.1+020105|13 13 30.1|+02 01 05|315.7487| 64.3394|           |5BZB             |                 |       15.5|                |                 |      -12.2|                |              |   0.356|             |            |                   |               |                     |                |           0.13|
|2WHSP J022716.4+020159|02 27 16.4|+02 01 59|165.1037|-52.8081|           |5BZB             |                 |       17.6|                |                 |      -11.5|                |              |   0.450|             |            |3FGL J0227.2+0201  |           2.04|                 0.10|                |           0.63|
|2WHSP J080610.6+020327|08 06 10.6|+02 03 27|219.8003| 17.5359|           |                 |                 |       15.2|                |                 |      -12.1|                |              |        |             |            |                   |               |                     |                |           0.16|
|2WHSP J120938.2+021017|12 09 38.2|+02 10 17|279.3069| 63.1096|           |5BZB             |                 |       16.0|                |                 |      -12.3|                |              |   0.291|             |            |                   |               |                     |                |           0.10|
|2WHSP J222636.4+021036|22 26 36.4|+02 10 36| 67.1519|-44.4492|           |                 |                 |       16.6|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J195547.8+021511|19 55 47.8|+02 15 11| 42.4667|-13.2109|           |                 |                 |       15.9|                |                 |      -11.4|                |              |        |             |            |3FGL J1955.9+0212  |           1.93|                 0.15|                |           0.79|
|2WHSP J235916.9+021520|23 59 16.9|+02 15 20| 97.7238|-58.0406|           |                 |                 |       16.0|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J150653.8+021904|15 06 53.8|+02 19 04|  1.3473| 49.1867|           |5BZG             |                 |       16.5|:               |                 |      -12.7|:               |              |   0.220|             |            |                   |               |                     |                |           0.04|
|2WHSP J121017.6+022343|12 10 17.6|+02 23 43|279.4705| 63.3772|           |5BZG             |                 |       16.0|:               |                 |      -12.3|:               |              |   0.383|             |            |                   |               |                     |                |           0.10|
|2WHSP J032613.9+022514|03 26 13.9|+02 25 14|180.7470|-42.4317|           |5BZB             |                 |       15.9|                |                 |      -11.3|                |              |   0.147|             |            |3FGL J0326.2+0225  |           2.00|                 0.09|2FHL J0326.3+022|           1.00|
|2WHSP J022152.7+023615|02 21 52.7|+02 36 15|162.7334|-53.1320|           |                 |                 |       15.7|                |                 |      -12.1|                |              |        |             |            |                   |               |                     |                |           0.16|
|2WHSP J081201.7+023732|08 12 01.7|+02 37 32|219.9906| 19.0937|           |                 |                 |       16.7|                |                 |      -11.6|                |              |        |             |            |3FGL J0812.0+0237  |           1.72|                 0.17|2FHL J0811.9+023|           0.50|
|2WHSP J171108.5+024403|17 11 08.5|+02 44 03| 23.4832| 23.4838|           |                 |                 |       16.4|                |                 |      -12.0|                |              |        |             |            |Arsioli2016        |           1.87|                 0.19|                |           0.20|
|2WHSP J233859.0+025109|23 38 59.0|+02 51 09| 89.8762|-55.2998|           |                 |                 |       17.3|                |                 |      -12.4|                |              |        |             |            |3FGL J2338.7+0251  |           2.58|                 0.14|                |           0.08|
|2WHSP J105606.6+025213|10 56 06.6|+02 52 13|249.2778| 53.2753|           |5BZG             |                 |       17.9|                |                 |      -11.5|                |              |   0.236|             |            |                   |               |                     |                |           0.63|
|2WHSP J013507.0+025541|01 35 07.0|+02 55 41|143.9412|-58.1508|           |                 |                 |       17.4|                |                 |      -12.5|                |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J043046.3+030337|04 30 46.3|+03 03 37|192.1518|-29.1776|           |                 |                 |       15.8|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J122208.6+030718|12 22 08.6|+03 07 18|285.4087| 64.9920|           |                 |&gt;                |       17.5|                |&gt;                |      -11.8|                |              |   0.503|             |            |                   |               |                     |                |           0.32|
|2WHSP J053809.7+031556|05 38 09.7|+03 15 56|201.3764|-14.6730|           |                 |                 |       15.4|                |                 |      -12.8|                |              |        |             |            |                   |               |                     |                |           0.03|
|2WHSP J140125.3+031629|14 01 25.3|+03 16 29|340.9921| 60.8653|           |                 |                 |       15.3|                |                 |      -12.7|                |              |        |             |            |                   |               |                     |                |           0.04|
|2WHSP J230329.8+032156|23 03 29.8|+03 21 56| 78.2405|-49.9027|           |                 |                 |       15.5|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J012713.9+032259|01 27 13.9|+03 22 59|140.1139|-58.2896|           |                 |                 |       15.7|                |                 |      -11.7|                |              |        |             |            |3FGL J0127.2+0325  |           1.90|                 0.07|                |           0.40|
|2WHSP J021502.8+032536|02 15 02.8|+03 25 36|159.5965|-53.3866|           |                 |&gt;                |       16.0|                |&gt;                |      -12.1|                |              |        |             |            |                   |               |                     |                |           0.16|
|2WHSP J030107.6+033017|03 01 07.6|+03 30 17|173.5951|-46.2180|           |                 |                 |       15.2|                |                 |      -12.3|                |              |        |             |            |                   |               |                     |                |           0.10|
|2WHSP J122033.5+033807|12 20 33.5|+03 38 07|284.1635| 65.3756|           |                 |                 |       15.8|                |                 |      -13.2|                |              |        |             |            |                   |               |                     |                |           0.01|
|2WHSP J181117.9+034112|18 11 17.9|+03 41 12| 31.6457| 10.6074|           |5BZB             |                 |       15.8|                |                 |      -11.3|                |              |        |             |            |3FGL J1811.2+0340  |           1.71|                 0.09|2FHL J1811.3+034|           1.00|
|2WHSP J073518.4+034735|07 35 18.4|+03 47 35|214.5507| 11.4850|           |                 |                 |       15.3|                |                 |      -12.0|                |              |        |             |            |                   |               |                     |                |           0.20|
|2WHSP J222424.9+035457|22 24 24.9|+03 54 57| 68.3947|-42.8631|           |                 |                 |       15.2|                |                 |      -11.8|                |              |        |             |            |3FGL J2224.4+0351  |           1.60|                 0.20|                |           0.32|
|2WHSP J141427.3+035800|14 14 27.3|+03 58 00|347.1096| 59.5176|           |                 |&gt;                |       17.0|                |&gt;                |      -12.0|                |              |        |             |            |                   |               |                     |                |           0.20|
|2WHSP J134249.6+035845|13 42 49.6|+03 58 45|333.0914| 63.8001|           |                 |                 |       16.3|                |                 |      -12.7|                |              |   0.881|:            |            |                   |               |                     |                |           0.04|
|2WHSP J140450.8+040202|14 04 50.8|+04 02 02|343.3263| 61.0103|           |5BZB             |                 |       15.7|                |                 |      -11.4|                |&gt;             |   0.370|             |            |3FGL J1404.8+0401  |           1.98|                 0.11|                |           0.79|
|2WHSP J102522.9+040229|10 25 22.9|+04 02 29|239.9641| 48.2150|           |5BZB             |                 |       16.2|                |                 |      -12.3|                |              |   0.200|             |            |                   |               |                     |                |           0.10|
|2WHSP J075212.4+040901|07 52 12.4|+04 09 01|216.1887| 15.4036|           |                 |                 |       15.6|                |                 |      -11.7|                |              |        |             |            |                   |               |                     |                |           0.50|
|2WHSP J135159.5+041211|13 51 59.5|+04 12 11|337.8030| 62.9000|           |                 |                 |       15.8|                |                 |      -12.6|                |              |   0.257|             |            |                   |               |                     |                |           0.05|
|2WHSP J050534.6+041553|05 05 34.6|+04 15 53|196.1729|-21.1998|           |5BZB             |                 |       15.7|                |                 |      -11.7|                |              |   0.424|             |            |3FGL J0505.5+0416  |           1.91|                 0.14|                |           0.40|
|2WHSP J092818.4+042109|09 28 18.4|+04 21 09|228.8229| 36.5617|           |                 |                 |       15.4|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J011009.7+042420|01 10 09.7|+04 24 20|131.8001|-58.1434|           |                 |                 |       15.0|                |                 |      -12.8|                |              |   0.392|             |            |                   |               |                     |                |           0.03|
|2WHSP J032056.2+042447|03 20 56.2|+04 24 47|177.5534|-42.0729|           |                 |                 |       17.9|                |                 |      -11.7|                |              |        |             |            |Arsioli2016        |           2.68|                 0.21|                |           0.40|
|2WHSP J132301.0+043951|13 23 01.0|+04 39 51|322.8503| 66.3070|           |5BZG             |                 |       16.8|                |                 |      -11.9|                |              |   0.224|             |            |3FGL J1322.9+0435  |           1.74|                 0.20|                |           0.25|
|2WHSP J134428.1+045029|13 44 28.1|+04 50 29|334.8308| 64.3774|           |                 |                 |       17.4|:               |                 |      -12.8|:               |              |   0.472|             |            |                   |               |                     |                |           0.03|
|2WHSP J014522.7+045129|01 45 22.7|+04 51 29|147.1246|-55.4596|           |                 |                 |       15.6|                |                 |      -12.9|                |              |   0.349|             |            |                   |               |                     |                |           0.03|
|2WHSP J093303.4+045235|09 33 03.4|+04 52 35|229.0208| 37.8465|           |                 |                 |       16.6|                |                 |      -12.4|                |              |   0.378|             |            |                   |               |                     |                |           0.08|
|2WHSP J154418.7+045821|15 44 18.7|+04 58 21| 12.5175| 43.2875|           |5BZG             |                 |       17.0|:               |                 |      -12.1|:               |              |   0.326|             |            |                   |               |                     |                |           0.16|
|2WHSP J210450.9+050320|21 04 50.9|+05 03 20| 54.4553|-26.5655|           |                 |                 |       16.1|                |                 |      -11.7|                |              |        |             |            |                   |               |                     |                |           0.40|
|2WHSP J220107.0+050436|22 01 07.0|+05 04 36| 64.4432|-37.7636|           |                 |                 |       15.5|                |                 |      -11.7|                |              |        |             |            |                   |               |                     |                |           0.40|
|2WHSP J004501.4+051215|00 45 01.4|+05 12 15|119.9480|-57.6304|           |                 |                 |       16.1|                |                 |      -12.5|                |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J003120.6+051332|00 31 20.6|+05 13 32|113.6471|-57.2835|           |                 |                 |       16.6|                |                 |      -12.1|                |              |        |             |            |                   |               |                     |                |           0.16|
|2WHSP J141003.9+051556|14 10 03.9|+05 15 56|347.0099| 61.2151|           |5BZB             |                 |       15.5|                |                 |      -12.7|                |              |   0.544|             |            |                   |               |                     |                |           0.04|
|2WHSP J092339.0+052648|09 23 39.0|+05 26 48|226.9232| 36.1134|           |                 |                 |       15.4|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J142320.5+053000|14 23 20.5|+05 30 00|352.3702| 59.2399|           |                 |                 |       16.3|                |                 |      -12.7|                |              |   0.543|             |            |                   |               |                     |                |           0.04|
|2WHSP J050833.3+053109|05 08 33.3|+05 31 09|195.4419|-19.9131|           |                 |                 |       15.6|                |                 |      -11.8|                |              |        |             |            |                   |               |                     |                |           0.32|
|2WHSP J001916.1+053148|00 19 16.1|+05 31 48|108.3464|-56.4280|U          |                 |                 |       16.0|:               |                 |      -12.9|:               |              |        |             |            |                   |               |                     |                |           0.03|
|2WHSP J015553.5+053309|01 55 53.5|+05 33 09|150.8135|-53.7934|           |                 |                 |       15.5|                |                 |      -13.0|                |              |        |             |            |                   |               |                     |                |           0.02|
|2WHSP J092401.0+053345|09 24 01.0|+05 33 45|226.8549| 36.2501|           |5BZB             |                 |       16.8|                |                 |      -11.9|                |              |   0.570|             |            |3FGL J0924.2+0534  |           2.43|                 0.12|                |           0.25|
|2WHSP J233907.3+053426|23 39 07.3|+05 34 26| 92.1195|-52.9166|           |5BZB             |                 |       15.6|                |                 |      -12.5|                |              |   0.740|:            |            |                   |               |                     |                |           0.06|
|2WHSP J011130.1+053626|01 11 30.1|+05 36 26|132.1021|-56.9069|           |5BZB             |&gt;                |       16.5|                |&gt;                |      -12.1|                |              |   0.346|             |            |3FGL J0111.5+0535  |           1.92|                 0.18|                |           0.16|
|2WHSP J142710.4+054130|14 27 10.4|+05 41 30|353.9695| 58.7237|           |                 |                 |       16.2|                |                 |      -12.1|                |              |        |             |            |                   |               |                     |                |           0.16|
|2WHSP J015608.2+054510|01 56 08.2|+05 45 10|150.7657|-53.5860|           |                 |                 |       15.5|                |                 |      -13.0|                |              |        |             |            |                   |               |                     |                |           0.02|
|2WHSP J085102.8+054905|08 51 02.8|+05 49 05|221.8889| 29.1839|           |5BZB             |                 |       15.8|                |                 |      -12.3|                |              |   0.480|             |            |                   |               |                     |                |           0.10|
|2WHSP J135758.2+055128|13 57 58.2|+05 51 28|342.5652| 63.4871|           |                 |                 |       15.9|                |                 |      -13.1|                |              |        |             |            |                   |               |                     |                |           0.02|
|2WHSP J123554.7+055213|12 35 54.7|+05 52 13|292.3807| 68.4234|           |                 |                 |       16.3|                |                 |      -12.7|                |              |   0.682|             |            |                   |               |                     |                |           0.04|
|2WHSP J030330.1+055429|03 03 30.1|+05 54 29|171.8841|-44.0569|           |5BZG             |                 |       15.8|                |                 |      -11.7|                |              |   0.196|             |            |Arsioli2016        |           1.46|                 0.24|                |           0.40|
|2WHSP J102827.6+055514|10 28 27.6|+05 55 14|238.3648| 49.9535|           |5BZG             |                 |       17.3|                |                 |      -12.8|                |              |   0.234|             |            |                   |               |                     |                |           0.03|
|2WHSP J115531.3+060854|11 55 31.3|+06 08 54|268.0574| 65.1621|           |                 |                 |       17.2|                |                 |      -12.9|                |              |   0.368|             |            |                   |               |                     |                |           0.03|
|2WHSP J125639.3+060906|12 56 39.3|+06 09 06|306.5503| 68.9868|           |5BZB             |                 |       16.5|                |                 |      -12.5|                |              |   0.420|             |            |                   |               |                     |                |           0.06|
|2WHSP J102703.4+060933|10 27 03.4|+06 09 33|237.7475| 49.8106|           |5BZB             |                 |       16.5|                |                 |      -12.0|                |              |   0.449|             |            |3FGL J1027.0+0609  |           2.09|                 0.20|                |           0.20|
|2WHSP J151845.7+061355|15 18 45.7|+06 13 55|  8.8608| 49.2568|           |                 |                 |       17.2|                |                 |      -11.5|                |              |   0.102|             |            |Arsioli2016        |           1.84|                 0.19|                |           0.63|
|2WHSP J031423.8+061955|03 14 23.8|+06 19 55|174.1773|-41.8889|           |5BZB             |                 |       16.3|                |                 |      -11.3|                |              |   0.620|:            |            |Arsioli2016        |           1.79|                 0.12|                |           1.00|
|2WHSP J045741.5+062220|04 57 41.5|+06 22 20|193.1354|-21.7509|           |                 |                 |       15.4|                |                 |      -12.0|                |              |        |             |            |                   |               |                     |                |           0.20|
|2WHSP J074709.4+062305|07 47 09.4|+06 23 05|213.5329| 15.2853|           |                 |                 |       15.8|                |                 |      -12.0|                |              |        |             |            |                   |               |                     |                |           0.20|
