

Results from heasarc_wisehspcat: 2WHSP Catalog of High Synchrotron Peaked Blazars and Candidates
Coordinate system:  Equatorial
|name                  |ra        |dec      |lii     |bii     |source_flag|bzcat_object_type|log_nu_peak_limit|log_nu_peak|log_nu_peak_flag|log_nu_f_nu_limit|log_nu_f_nu|log_nu_f_nu_flag|redshift_limit|redshift|redshift_flag|ref_redshift|fermi_lat_detection|gamma_ray_index|gamma_ray_index_error|twofhl_name     |figure_of_merit|
|2WHSP J161046.3-664900|16 10 46.3|-66 49 00|320.7870|-11.1380|           |5BZB             |                 |       15.8|                |                 |      -11.0|                |              |        |             |            |3FGL J1610.8-6649  |           1.77|                 0.04|2FHL J1610.5-665|           2.00|
|2WHSP J135340.1-663956|13 53 40.1|-66 39 56|309.0495| -4.5358|           |                 |                 |       15.5|                |                 |      -11.4|                |              |        |             |            |3FGL J1353.5-6640  |           1.91|                 0.10|2FHL J1353.5-664|           0.79|
|2WHSP J021650.8-663642|02 16 50.8|-66 36 42|290.3634|-48.3794|           |5BZB             |                 |       15.5|                |                 |      -11.6|                |&gt;             |   0.330|             |            |3FGL J0217.0-6635  |           1.98|                 0.08|                |           0.50|
|2WHSP J234754.7-663045|23 47 54.7|-66 30 45|312.5813|-49.4086|           |                 |                 |       16.7|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J073049.4-660217|07 30 49.4|-66 02 17|277.5909|-20.7858|           |                 |                 |       15.7|                |                 |      -11.4|                |              |   0.106|             |            |3FGL J0730.5-6606  |           1.79|                 0.12|2FHL J0730.9-660|           0.79|
|2WHSP J043154.8-653634|04 31 54.8|-65 36 34|277.1993|-38.7164|           |                 |                 |       15.9|                |                 |      -12.3|                |              |        |             |            |                   |               |                     |                |           0.10|
|2WHSP J042026.2-651359|04 20 26.2|-65 13 59|277.3262|-39.9638|           |                 |                 |       15.3|                |                 |      -11.9|                |              |        |             |            |                   |               |                     |                |           0.32|
|2WHSP J014357.9-651226|01 43 57.9|-65 12 26|294.2203|-51.0233|           |                 |                 |       15.5|                |                 |      -12.6|                |              |        |             |            |                   |               |                     |                |           0.05|
|2WHSP J031614.2-643731|03 16 14.2|-64 37 31|281.5506|-46.0349|           |5BZB             |                 |       16.2|                |                 |      -11.5|                |              |        |             |            |3FGL J0316.2-6436  |           2.09|                 0.09|                |           0.63|
|2WHSP J021729.2-642306|02 17 29.2|-64 23 06|288.5693|-50.2757|           |                 |                 |       15.8|                |                 |      -12.8|                |              |        |             |            |                   |               |                     |                |           0.03|
|2WHSP J021931.2-642151|02 19 31.2|-64 21 51|288.2581|-50.1801|U          |                 |                 |       16.0|:               |                 |      -12.9|:               |              |        |             |            |                   |               |                     |                |           0.03|
|2WHSP J082627.7-640414|08 26 27.7|-64 04 14|278.4940|-14.6736|           |                 |                 |       16.6|                |                 |      -11.2|                |              |        |             |            |3FGL J0826.3-6400  |           2.34|                 0.13|                |           1.26|
|2WHSP J233630.4-635634|23 36 30.4|-63 56 34|315.9570|-51.2487|           |                 |                 |       15.1|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J082314.5-632930|08 23 14.5|-63 29 30|277.7917|-14.6640|           |                 |                 |       16.3|                |                 |      -12.2|                |&gt;             |   0.290|             |            |                   |               |                     |                |           0.13|
|2WHSP J232039.7-630918|23 20 39.7|-63 09 18|319.0195|-51.0438|           |                 |                 |       16.1|                |                 |      -11.7|                |              |   0.200|             |            |Arsioli2016        |           1.71|                 0.17|                |           0.40|
|2WHSP J032214.1-630740|03 22 14.1|-63 07 40|279.2698|-46.4721|           |                 |                 |       15.4|                |                 |      -11.7|                |              |        |             |            |                   |               |                     |                |           0.40|
|2WHSP J005116.6-624203|00 51 16.6|-62 42 03|302.9637|-54.4274|           |5BZB             |                 |       15.9|                |                 |      -11.4|                |&gt;             |   0.300|             |f           |3FGL J0051.2-6241  |           1.66|                 0.05|2FHL J0051.2-624|           0.79|
|2WHSP J210338.2-623225|21 03 38.2|-62 32 25|332.7263|-38.9341|           |                 |                 |       15.0|                |                 |      -11.4|                |              |        |             |            |3FGL J2103.9-6233  |           1.98|                 0.05|2FHL J2103.8-623|           0.79|
|2WHSP J054301.9-621905|05 43 01.9|-62 19 05|271.4758|-31.6935|           |                 |                 |       16.3|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J074419.7-621059|07 44 19.7|-62 10 59|274.4072|-17.9565|           |                 |                 |       16.7|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J033118.4-615527|03 31 18.4|-61 55 27|276.9663|-46.3316|           |                 |                 |       15.7|                |                 |      -11.8|                |              |        |             |            |3FGL J0331.3-6155  |           2.08|                 0.08|2FHL J0331.3-615|           0.32|
|2WHSP J014753.5-602810|01 47 53.5|-60 28 10|290.7430|-55.3027|           |                 |                 |       16.6|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J183820.5-602522|18 38 20.5|-60 25 22|334.9895|-21.8067|           |                 |                 |       15.9|:               |                 |      -12.0|:               |              |   0.121|             |            |                   |               |                     |                |           0.20|
|2WHSP J052542.4-601340|05 25 42.4|-60 13 40|269.1062|-33.8680|           |                 |                 |       15.7|                |                 |      -12.6|                |              |        |             |            |3FGL J0525.6-6013  |           1.73|                 0.10|2FHL J0525.8-601|           0.05|
|2WHSP J231305.8-600521|23 13 05.8|-60 05 21|323.1052|-53.0165|           |                 |                 |       17.3|                |                 |      -12.3|                |&gt;             |   0.560|             |            |                   |               |                     |                |           0.10|
|2WHSP J183806.7-600032|18 38 06.7|-60 00 32|335.4067|-21.6586|           |                 |                 |       15.5|                |                 |      -12.1|                |              |        |             |            |3FGL J1838.5-6006  |           1.86|                 0.13|                |           0.16|
|2WHSP J182833.4-592053|18 28 33.4|-59 20 53|335.6769|-20.3069|           |                 |                 |       16.4|                |                 |      -11.8|                |              |        |             |            |                   |               |                     |                |           0.32|
|2WHSP J220107.3-590639|22 01 07.3|-59 06 39|333.3603|-46.6976|           |                 |                 |       16.3|                |                 |      -11.8|                |              |        |             |            |Arsioli2016        |           1.85|                 0.21|                |           0.32|
|2WHSP J014347.2-584551|01 43 47.2|-58 45 51|290.4551|-57.0780|           |5BZB             |                 |       17.1|                |                 |      -11.0|                |              |        |             |            |3FGL J0143.7-5845  |           1.84|                 0.06|2FHL J0143.8-584|           2.00|
|2WHSP J073124.1-584121|07 31 24.1|-58 41 21|270.3710|-18.0190|           |                 |                 |       15.1|                |                 |      -12.3|                |              |        |             |            |                   |               |                     |                |           0.10|
|2WHSP J200213.6-583736|20 02 13.6|-58 37 36|338.7313|-32.0166|           |                 |                 |       15.9|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J044458.3-583629|04 44 58.3|-58 36 29|268.0044|-39.2174|U          |                 |                 |       16.0|:               |                 |      -13.0|:               |              |        |             |            |                   |               |                     |                |           0.02|
|2WHSP J024440.1-581954|02 44 40.1|-58 19 54|278.4484|-53.0783|           |5BZB             |                 |       16.8|                |                 |      -11.4|                |              |   0.260|             |            |3FGL J0244.8-5818  |           1.70|                 0.14|2FHL J0244.9-582|           0.79|
|2WHSP J023109.1-575505|02 31 09.1|-57 55 05|280.2048|-54.5885|           |                 |                 |       15.4|                |                 |      -12.0|                |              |        |             |            |3FGL J0230.6-5757  |           1.68|                 0.29|2FHL J0231.0-575|           0.20|
|2WHSP J005235.4-574636|00 52 35.4|-57 46 36|302.6307|-59.3509|           |                 |                 |       16.1|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J200204.0-573644|20 02 04.0|-57 36 44|339.9271|-31.9819|           |                 |                 |       15.6|                |                 |      -12.0|                |              |        |             |            |Arsioli2016        |           1.94|                 0.11|                |           0.20|
|2WHSP J051845.4-572054|05 18 45.4|-57 20 54|265.6926|-34.9496|           |                 |                 |       16.9|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J040352.3-571941|04 03 52.3|-57 19 41|268.4368|-44.8002|           |                 |                 |       15.6|                |                 |      -12.5|                |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J032852.6-571605|03 28 52.6|-57 16 05|271.3613|-49.0823|           |                 |                 |       16.3|                |                 |      -11.9|                |              |        |             |            |Arsioli2016        |           1.60|                 0.20|                |           0.25|
|2WHSP J033831.9-570447|03 38 31.9|-57 04 47|270.1536|-48.0295|           |                 |                 |       17.0|                |                 |      -11.9|                |              |        |             |            |Arsioli2016        |           1.63|                 0.23|                |           0.25|
|2WHSP J220138.2-564629|22 01 38.2|-56 46 29|336.3663|-47.8390|           |                 |                 |       15.6|                |                 |      -11.9|                |              |        |             |            |                   |               |                     |                |           0.25|
|2WHSP J195502.8-564027|19 55 02.8|-56 40 27|340.9850|-30.9957|           |                 |                 |       16.0|                |                 |      -11.3|                |              |        |             |            |3FGL J1954.9-5640  |           1.88|                 0.15|2FHL J1954.9-564|           1.00|
|2WHSP J032523.5-563544|03 25 23.5|-56 35 44|270.8442|-49.8342|           |                 |                 |       16.5|                |                 |      -11.8|                |              |   0.600|             |            |3FGL J0325.2-5634  |           2.22|                 0.11|                |           0.32|
|2WHSP J074322.0-563253|07 43 22.0|-56 32 53|269.0208|-15.6784|           |                 |                 |       15.4|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J213004.6-563221|21 30 04.6|-56 32 21|339.0351|-43.9153|           |                 |                 |       15.2|                |                 |      -12.5|                |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J214924.0-563112|21 49 24.0|-56 31 12|337.7399|-46.4178|U          |                 |                 |       16.3|:               |                 |      -12.6|:               |              |        |             |            |                   |               |                     |                |           0.05|
|2WHSP J022540.6-561811|02 25 40.6|-56 18 11|279.3726|-56.3025|           |                 |                 |       16.7|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J052026.0-555429|05 20 26.0|-55 54 29|263.9257|-34.7880|           |                 |                 |       15.4|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J225635.9-554713|22 56 35.9|-55 47 13|330.7866|-54.6837|           |                 |                 |       16.4|                |                 |      -12.6|                |              |        |             |            |                   |               |                     |                |           0.05|
|2WHSP J054357.1-553207|05 43 57.1|-55 32 07|263.5148|-31.4744|           |5BZB             |                 |       16.7|                |                 |      -10.9|                |              |   0.273|             |            |3FGL J0543.9-5531  |           1.77|                 0.05|2FHL J0543.9-553|           2.51|
|2WHSP J225818.9-552536|22 58 18.9|-55 25 36|330.9648|-55.1056|           |5BZB             |                 |       15.7|                |                 |      -11.7|                |              |   0.479|             |            |3FGL J2258.3-5526  |           2.31|                 0.17|                |           0.40|
|2WHSP J041645.1-552528|04 16 45.1|-55 25 28|265.1275|-43.7123|           |                 |                 |       15.7|:               |                 |      -12.9|:               |              |        |             |            |                   |               |                     |                |           0.03|
|2WHSP J071745.0-552021|07 17 45.0|-55 20 21|266.3685|-18.4864|           |                 |                 |       15.3|                |                 |      -12.0|                |              |        |             |            |Arsioli2016        |           2.16|                 0.15|                |           0.20|
|2WHSP J231306.4-550406|23 13 06.4|-55 04 06|328.7565|-56.8506|           |                 |                 |       15.7|                |                 |      -12.5|                |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J224727.8-545205|22 47 27.8|-54 52 05|333.4392|-54.2866|           |                 |                 |       17.1|                |                 |      -12.5|                |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J035807.1-545138|03 58 07.1|-54 51 38|265.5365|-46.4178|           |                 |                 |       15.1|                |                 |      -12.6|                |              |        |             |            |                   |               |                     |                |           0.05|
|2WHSP J015044.5-545004|01 50 44.5|-54 50 04|285.6497|-60.2592|           |                 |                 |       15.8|                |                 |      -12.0|                |              |        |             |            |3FGL J0150.5-5447  |           2.12|                 0.23|                |           0.20|
|2WHSP J050657.7-543503|05 06 57.7|-54 35 03|262.4205|-36.7744|           |5BZB             |                 |       16.2|                |                 |      -11.4|                |&gt;             |   0.260|             |            |3FGL J0506.9-5435  |           1.60|                 0.09|2FHL J0506.9-543|           0.79|
|2WHSP J042344.2-543142|04 23 44.2|-54 31 42|263.5853|-42.9712|           |                 |                 |       16.8|                |                 |      -12.7|                |              |        |             |            |                   |               |                     |                |           0.04|
